Snow Peak Titanium Spork, , $8.95, 17 gm 0.6 oz 0.04 lb, Spork
Snow Peak Titanium Short Spork, , $8.95, 14 gm 0.5 oz 0.03 lb, Spork
Snow Peak Titanium Colored Spork, , $9.95, 17 gm 0.6 oz 0.04 lb, Spork
Light My Fire Titanium Spork, , $14.99, 20 gm 0.7 oz 0.04 lb, Spork
Light My Fire Spork XM, , $3.99, 16 gm 0.6 oz 0.04 lb, Spork
Light My Fire Spork, , $2.99, 9 gm 0.3 oz 0.02 lb, Fork
Optimus Titanium Folding Spork, , $14.95, 18 gm 0.6 oz 0.04 lb, Spork
Sea to Summit Delta Spork, , $3.50, 15 gm 0.5 oz 0.03 lb, Fork
Sea to Summit Delta Spoon, , $3.50, 15 gm 0.5 oz 0.03 lb, Spoon
Sea to Summit Alpha Light Spork, , $6.95, 9 gm 0.3 oz 0.02 lb, Spork
Guyout Designs MicroBites Utensils, Includes Spork and Spatula/Knife, $4.95, 22 gm 0.8 oz 0.05 lb, Utensil Set
MSR Folding Spork, , $3.95, 10 gm 0.3 oz 0.02 lb, Spork
MSR Folding Fork, , $3.95, 10 gm 0.3 oz 0.02 lb, Fork
MSR Folding Spoon, , $3.95, 10 gm 0.3 oz 0.02 lb, Spoon
Jetboil Utensil Kit, , $9.95, 36 gm 1.3 oz 0.08 lb, Utensil Set
Sea to Summit Alpha Set, , $16.95, 37 gm 1.3 oz 0.08 lb, Utensil Set
Snow Peak Silverware Set, , $34.95, 51 gm 1.8 oz 0.11 lb, Utensil Set
Sea to Summit Alpha Light Long Spoon, , $8.95, 12 gm 0.4 oz 0.03 lb, Spoon
Sea to Summit Alpha Light Spoon, , $6.95, 9 gm 0.3 oz 0.02 lb, Spoon
Sea to Summit Alpha Light Fork, , $6.95, 6 gm 0.2 oz 0.01 lb, Fork
Sea to Summit Titanium Spork, , $11.95, 17 gm 0.6 oz 0.04 lb, Spork
Sea to Summit Titanium Long Spoon, , $13.95, 17 gm 0.6 oz 0.04 lb, Spoon
Sea to Summit Titanium Folding Spork, , $14.95, 17 gm 0.6 oz 0.04 lb, Spork
Sea to Summit Alpha Light Knife, , $6.95, 7 gm 0.2 oz 0.02 lb, Knife