Osprey Kyte 36 (XS/S), , $149.00, 1276 gm 45.0 oz 2.81 lb, 2075 cu. in.34 liters, ~30-40 lbs
Osprey Kyte 36 (S/M), , $149.00, 1361 gm 48.0 oz 3.00 lb, 2197 cu. in.36 liters, ~30-40 lbs
Osprey Sirrus 36 (S), , $139.00, 1304 gm 46.0 oz 2.88 lb, 2075 cu. in.34 liters, ~20-35 lbs
Osprey Sirrus 36 (M), , $139.00, 1361 gm 48.0 oz 3.00 lb, 2197 cu. in.36 liters, ~20-35 lbs
Osprey Sirrus 36 (L), , $139.00, 1417 gm 50.0 oz 3.13 lb, 2319 cu. in.38 liters, ~20-35 lbs
Osprey Sirrus 24 (S), , $99.00, 1049 gm 37.0 oz 2.31 lb, 1343 cu. in.22 liters, ~15-25 lbs
Osprey Sirrus 24 (M), , $99.00, 1106 gm 39.0 oz 2.44 lb, 1465 cu. in.24 liters, ~15-25 lbs
Osprey Sirrus 24 (L), , $99.00, 1162 gm 41.0 oz 2.56 lb, 1587 cu. in.26 liters, ~15-25 lbs
Osprey Mira 34 (XS/S), , $159.00, 964 gm 34.0 oz 2.13 lb, 1953 cu. in.32 liters, ~20-30 lbs
Osprey Mira 34 (S/M), , $159.00, 1049 gm 37.0 oz 2.31 lb, 2075 cu. in.34 liters, ~20-30 lbs
Osprey Mira 26 (XS/S), , $149.00, 907 gm 32.0 oz 2.00 lb, 1465 cu. in.24 liters, ~15-25 lbs
Osprey Mira 26 (S/M), , $149.00, 964 gm 34.0 oz 2.13 lb, 1587 cu. in.26 liters, ~15-25 lbs
Osprey Mira 18, , $149.00, 907 gm 32.0 oz 2.00 lb, 1098 cu. in.18 liters, ~15-25 lbs
Osprey Raven 14, , $129.00, 709 gm 25.0 oz 1.56 lb, 854 cu. in.14 liters, ~1-1 lbs
Osprey Raven 10, , $119.00, 595 gm 21.0 oz 1.31 lb, 610 cu. in.10 liters, ~1-1 lbs
Osprey Raven 6, , $109.00, 567 gm 20.0 oz 1.25 lb, 366 cu. in.6 liters, ~1-1 lbs
Osprey Verve 13, Includes 3L Hydration Reservoir, $109.00, 539 gm 19.0 oz 1.19 lb, 793 cu. in.13 liters, ~1-1 lbs
Osprey Verve 9, Includes 3L Hydration Reservoir, $99.00, 482 gm 17.0 oz 1.06 lb, 549 cu. in.9 liters, ~1-1 lbs
Osprey Verve 5, Includes 2L Hydration Reservoir, $89.00, 425 gm 15.0 oz 0.94 lb, 305 cu. in.5 liters, ~1-1 lbs
Alps Mountaineering Synergy, , $119.99, 1134 gm 40.0 oz 2.50 lb, 2100 cu. in.34 liters, ~1-1 lbs
Alps Mountaineering Synergy LTE, Smaller Size Fits Smaller Torsos, $119.99, 1304 gm 46.0 oz 2.88 lb, 2400 cu. in.39 liters, ~1-1 lbs
Arcteryx Pyxis 12, , $99.00, 425 gm 15.0 oz 0.94 lb, 732 cu. in.12 liters, ~1-1 lbs
Arcteryx Pyxis 18, , $109.00, 539 gm 19.0 oz 1.19 lb, 1098 cu. in.18 liters, ~1-1 lbs
Arcteryx Sebring 18, , $119.00, 709 gm 25.0 oz 1.56 lb, 1098 cu. in.18 liters, ~1-1 lbs
Arcteryx Sebring 25, , $139.00, 737 gm 26.0 oz 1.63 lb, 1525 cu. in.25 liters, ~1-1 lbs
Arcteryx Kea 30 (Short/Reg), , $199.00, 1304 gm 46.0 oz 2.88 lb, 1836 cu. in.30 liters, ~1-1 lbs
Arcteryx Kea 30 (Reg/Tall), , $199.00, 1361 gm 48.0 oz 3.00 lb, 1952 cu. in.32 liters, ~1-1 lbs
Arcteryx Pyxis 12, , $99.00, 425 gm 15.0 oz 0.94 lb, 732 cu. in.12 liters, ~1-1 lbs
Arcteryx Pyxis 18, , $109.00, 539 gm 19.0 oz 1.19 lb, 1098 cu. in.18 liters, ~1-1 lbs
Arcteryx Altra 33 (Short), , $249.00, 1049 gm 37.0 oz 2.31 lb, 2014 cu. in.33 liters, ~1-1 lbs
Arcteryx Altra 33 (Regular), , $249.00, 1106 gm 39.0 oz 2.44 lb, 2136 cu. in.35 liters, ~1-1 lbs
Arcteryx Altra 33 (Tall), , $249.00, 1162 gm 41.0 oz 2.56 lb, 2258 cu. in.37 liters, ~1-1 lbs
Arcteryx Kea 37 (Regular), , $239.00, 1503 gm 53.0 oz 3.31 lb, 2441 cu. in.40 liters, ~1-1 lbs
Arcteryx Kea 37 (Short), , $239.00, 1446 gm 51.0 oz 3.19 lb, 2319 cu. in.38 liters, ~1-1 lbs
Arcteryx Kea 37 (Tall), , $239.00, 1559 gm 55.0 oz 3.44 lb, 2563 cu. in.42 liters, ~1-1 lbs
Arcteryx Aerios 7, , $99.00, 397 gm 14.0 oz 0.88 lb, 427 cu. in.7 liters, ~1-1 lbs
Arcteryx Aerios 10, , $109.00, 425 gm 15.0 oz 0.94 lb, 610 cu. in.10 liters, ~1-1 lbs
Black Diamond Chase Pack (Small), , $139.95, 1050 gm 37.0 oz 2.31 lb, 1340 cu. in.22 liters, ~1-1 lbs
Black Diamond Chase Pack (Medium), , $139.95, 1080 gm 38.1 oz 2.38 lb, 1465 cu. in.24 liters, ~1-1 lbs
CamelBak Aventura, Includes 3L Hydration Reservoir, $140.00, 1111 gm 39.2 oz 2.45 lb, 1281 cu. in.21 liters, ~1-1 lbs
CamelBak Day Star, Includes 2L Hydration Reservoir, $80.00, 771 gm 27.2 oz 1.70 lb, 1098 cu. in.18 liters, ~1-1 lbs
CamelBak Trinity, Includes 3L Hydration Reservoir, $115.00, 1179 gm 41.6 oz 2.60 lb, 1525 cu. in.25 liters, ~1-1 lbs
CamelBak Helena, Includes 3L Hydration Reservoir, $100.00, 998 gm 35.2 oz 2.20 lb, 1281 cu. in.21 liters, ~1-1 lbs
CamelBak Vista FT, Includes 3L Hydration Reservoir, $195.00, 1873 gm 66.1 oz 4.13 lb, 1830 cu. in.30 liters, ~1-1 lbs
Deuter Compact Air EXP 8 SL, , $125.00, 970 gm 34.2 oz 2.14 lb, 490 cu. in.8 liters, ~1-1 lbs
Deuter Futura 24 SL, , $129.00, 1500 gm 52.9 oz 3.31 lb, 1460 cu. in.24 liters, ~1-1 lbs
Deuter Futura 30 SL, , $139.00, 1580 gm 55.7 oz 3.48 lb, 1830 cu. in.30 liters, ~1-1 lbs
Deuter Futura Pro 34 SL, , $149.00, 1700 gm 60.0 oz 3.75 lb, 2070 cu. in.34 liters, ~1-1 lbs
Deuter ACT Trail 20 SL, , $119.00, 1130 gm 39.9 oz 2.49 lb, 1220 cu. in.20 liters, ~1-1 lbs
Deuter ACT Trail 28 SL, , $129.00, 1270 gm 44.8 oz 2.80 lb, 1710 cu. in.28 liters, ~1-1 lbs
GoLite Jam 35, , $99.99, 765 gm 27.0 oz 1.69 lb, 2135 cu. in.35 liters, ~1-30 lbs
GoLite Rush 10, , $49.99, 445 gm 15.7 oz 0.98 lb, 610 cu. in.10 liters, ~1-1 lbs
GoLite Rush 14, , $54.99, 530 gm 18.7 oz 1.17 lb, 854 cu. in.14 liters, ~1-1 lbs
GoLite Rush 20, , $59.99, 585 gm 20.6 oz 1.29 lb, 1220 cu. in.20 liters, ~1-1 lbs
GoLite DayLite 18, , $24.99, 310 gm 10.9 oz 0.68 lb, 1098 cu. in.18 liters, ~1-1 lbs
GoLite DayLite, , $44.99, 505 gm 17.8 oz 1.11 lb, 1525 cu. in.25 liters, ~1-1 lbs
Granite Gear Vapor Day Ki, , $146.95, 964 gm 34.0 oz 2.13 lb, 2000 cu. in.32 liters, ~1-30 lbs
Gregory Sage 35 (XS.), , $179.00, 1304 gm 46.0 oz 2.88 lb, 1892 cu. in.31 liters, ~1-30 lbs
Gregory Sage 35 (SM.), , $179.00, 1361 gm 48.0 oz 3.00 lb, 2136 cu. in.35 liters, ~1-30 lbs
Gregory Sage 35 (MD.), , $179.00, 1417 gm 50.0 oz 3.13 lb, 2378 cu. in.39 liters, ~1-30 lbs
Gregory J 33 (SM.) (2014), , $159.00, 1191 gm 42.0 oz 2.63 lb, 2014 cu. in.33 liters, ~1-35 lbs
Gregory J 33 (MD.) (2014), , $159.00, 1276 gm 45.0 oz 2.81 lb, 2136 cu. in.35 liters, ~1-35 lbs
Gregory J 28 (SM.) (2014), , $139.00, 936 gm 33.0 oz 2.06 lb, 1709 cu. in.28 liters, ~1-35 lbs
Gregory J 28 (MD.) (2014), , $139.00, 1021 gm 36.0 oz 2.25 lb, 1831 cu. in.30 liters, ~1-35 lbs
Gregory J23 (2014), , $99.00, 794 gm 28.0 oz 1.75 lb, 1404 cu. in.23 liters, ~1-35 lbs
Gregory Maya 32 (SM.) (2014), , $149.00, 1021 gm 36.0 oz 2.25 lb, 1953 cu. in.32 liters, ~1-25 lbs
Gregory Maya 32 (MD.) (2014), , $149.00, 1106 gm 39.0 oz 2.44 lb, 2075 cu. in.34 liters, ~1-25 lbs
Gregory Maya 22 (2014), , $119.00, 652 gm 23.0 oz 1.44 lb, 1343 cu. in.22 liters, ~1-25 lbs
Gregory Maya 16 (2014), , $99.00, 539 gm 19.0 oz 1.19 lb, 976 cu. in.16 liters, ~1-20 lbs
Gregory Maya 10 (2014), , $85.00, 510 gm 18.0 oz 1.13 lb, 610 cu. in.10 liters, ~1-20 lbs
Gregory Maya 5 (2014), , $69.00, 397 gm 14.0 oz 0.88 lb, 305 cu. in.5 liters, ~1-20 lbs
Kelty Women's Claire, , $64.95, 765 gm 27.0 oz 1.69 lb, 1763 cu. in.29 liters, ~1-1 lbs
Kelty Women's Lorraine, , $79.95, 907 gm 32.0 oz 2.00 lb, 1854 cu. in.30 liters, ~1-1 lbs
Kelty Women's Babs, , $74.95, 850 gm 30.0 oz 1.88 lb, 1710 cu. in.28 liters, ~1-1 lbs
Kelty Women's Shrike, , $89.95, 850 gm 30.0 oz 1.88 lb, 1600 cu. in.26 liters, ~1-1 lbs
Kelty Women's Kite 24, , $54.95, 454 gm 16.0 oz 1.00 lb, 1450 cu. in.24 liters, ~1-1 lbs
Kelty Women's Redstart 23, , $69.95, 567 gm 20.0 oz 1.25 lb, 1400 cu. in.23 liters, ~1-1 lbs
Kelty Women's Redtail 22, , $79.95, 624 gm 22.0 oz 1.38 lb, 1350 cu. in.22 liters, ~1-1 lbs
Lowe Alpine Eclipse ND 32, , $129.95, 750 gm 26.5 oz 1.65 lb, 1955 cu. in.32 liters, ~1-1 lbs
Lowe Alpine Eclipse ND 22, , $114.95, 720 gm 25.4 oz 1.59 lb, 1340 cu. in.22 liters, ~1-1 lbs
Lowe Alpine AirZone ND24, , $109.95, 1077 gm 38.0 oz 2.38 lb, 1465 cu. in.24 liters, ~1-22 lbs
MontBell Rose Pack 20, , $49.00, 470 gm 16.6 oz 1.04 lb, 1220 cu. in.20 liters, ~1-1 lbs
MontBell Pyrenees Pack 25, , $95.00, 988 gm 34.9 oz 2.18 lb, 1525 cu. in.25 liters, ~1-30 lbs
Mountain Hardwear Wandra 24, , $135.00, 1106 gm 39.0 oz 2.44 lb, 1450 cu. in.24 liters, ~1-1 lbs
REI Trail 25 Pack - Women's, , $69.50, 794 gm 28.0 oz 1.75 lb, 1525 cu. in.25 liters, ~1-1 lbs
REI Flash Sport 15 Pack - Women's, , $69.50, 482 gm 17.0 oz 1.06 lb, 915 cu. in.15 liters, ~1-1 lbs
REI Traverse 30 Pack - Womens, , $89.50, 1049 gm 37.0 oz 2.31 lb, 1830 cu. in.30 liters, ~1-1 lbs
The North Face Women's Casimir 36 (S/M), , $169.00, 992 gm 35.0 oz 2.19 lb, 2197 cu. in.36 liters, ~1-1 lbs
The North Face Women's Casimir 36 (M/L), , $169.00, 1021 gm 36.0 oz 2.25 lb, 2197 cu. in.36 liters, ~1-1 lbs
The North Face Women's Casimir 27 (S/M), , $129.00, 850 gm 30.0 oz 1.87 lb, 1648 cu. in.27 liters, ~1-1 lbs
The North Face Women's Casimir 27 (M/L), , $129.00, 879 gm 31.0 oz 1.94 lb, 1648 cu. in.27 liters, ~1-1 lbs
The North Face Women's Angstrom 28, , $119.00, 907 gm 32.0 oz 2.00 lb, 1710 cu. in.28 liters, ~1-1 lbs
The North Face Women's Angstrom 20, , $99.00, 709 gm 25.0 oz 1.56 lb, 1220 cu. in.20 liters, ~1-1 lbs