Big Agnes Women's Juniper SL (Short), $279.95, 964 gm 34.0 oz 2.13 lb, 26 F-3.3 C, 700 Down, 54", 8.5" x 8", Short: Fits  up to 5'6"
Big Agnes Women's Juniper SL (Regular), $299.95, 1106 gm 39.0 oz 2.44 lb, 26 F-3.3 C, 700 Down, 56", 8.5" x 8.5", Regular: Fits  up to 5'10"
Big Agnes Women's Lithia Spring SL (Short), $349.95, 1162 gm 41.0 oz 2.56 lb, 15 F-9.4 C, 700 Down, 54", 9" x 8.5", Short: Fits up to 5'6"
Big Agnes Women's Lithia Spring SL (Regular), $379.95, 1417 gm 50.0 oz 3.13 lb, 15 F-9.4 C, 700 Down, 56", 9" x 9", Regular: Fits up to 5'10"
Big Agnes Women's Betty SL (Short), $189.95, 1361 gm 48.0 oz 3.00 lb, 27 F-2.7 C, Synth, 54", 11" x 9", Short: Fits up to 5'6"
Big Agnes Women's Betty SL (Regular), $199.95, 1559 gm 55.0 oz 3.44 lb, 27 F-2.7 C, Synth, 56", 12" x 9", Regular: Fits up to 5'10"
Big Agnes Women's Gem Lake SL (Short), $209.95, 1616 gm 57.0 oz 3.56 lb, 17 F-8.3 C, Synth, 54", 12" x 9.5", Short: Fits up to 5'6"
Big Agnes Women's Gem Lake SL (Regular), $229.95, 1843 gm 65.0 oz 4.06 lb, 17 F-8.3 C, Synth, 56", 13" x 10", Regular: Fits up to 5'10"
Big Agnes Slavonia (Short), $149.95, 1276 gm 45.0 oz 2.81 lb, 30 F-1.1 C, Synth, 68", 9" x 8", Short: Fits up to 5'6"
Big Agnes Slavonia (Regular), $159.95, 1417 gm 50.0 oz 3.13 lb, 30 F-1.1 C, Synth, 70", 9" x 8.5", Regular: Fits up to 5'10"
Big Agnes Lulu (Short), $159.95, 1417 gm 50.0 oz 3.13 lb, 15 F-9.4 C, Synth, 68", 9" x 8.5", Short: Fits up to 5'6"
Big Agnes Lulu (Regular), $169.95, 1531 gm 54.0 oz 3.38 lb, 15 F-9.4 C, Synth, 70", 9" x 9", Regular: Fits up to 5'10"
Big Agnes Pearl (Short), $199.95, 1134 gm 40.0 oz 2.50 lb, 30 F-1.1 C, 650 Down, 68", 8" x 8.5", Short: Fits up to 5'6"
Big Agnes Pearl (Regular), $209.95, 1276 gm 45.0 oz 2.81 lb, 30 F-1.1 C, 650 Down, 70", 9" x 8", Regular: Fits up to 5'10"
Big Agnes Roxy Ann (Short), $229.95, 1191 gm 42.0 oz 2.63 lb, 15 F-9.4 C, 650 Down, 68", 8" x 9", Short: Fits up to 5'6"
Big Agnes Roxy Ann (Regular), $239.95, 1332 gm 47.0 oz 2.94 lb, 15 F-9.4 C, 650 Down, 70", 9.5" x 8", Regular: Fits up to 5'10"
Big Agnes Fria (Short), $239.95, 1191 gm 42.0 oz 2.63 lb, 15 F-9.4 C, 600 Down, 65.5", 8" x 6", Short: Fits up to 5'6"
Big Agnes Fria (Regular), $259.95, 1361 gm 48.0 oz 3.00 lb, 15 F-9.4 C, 600 Down, 67.5", 8" x 7", Regular: Fits up to 5'10"
Big Agnes Amber SL (Short), $329.95, 794 gm 28.0 oz 1.75 lb, 30 F-1.1 C, 800 Down, 65.5", 7" x 6", Short: Fits up to 5'6"
Big Agnes Amber SL (Regular), $349.95, 907 gm 32.0 oz 2.00 lb, 30 F-1.1 C, 800 Down, 67.5", 7" x 6.5", Regular: Fits up to 5'10"
Big Agnes Peggy SL (Short), $359.95, 907 gm 32.0 oz 2.00 lb, 15 F-9.4 C, 800 Down, 62.5", 7" x 7", Short: Fits up to 5'6"
Big Agnes Peggy SL (Regular), $379.95, 1021 gm 36.0 oz 2.25 lb, 15 F-9.4 C, 800 Down, 67.5", 8" x 7", Regular: Fits up to 5'10"
Eureka Casper 15° - Women's, $134.90, 1332 gm 47.0 oz 2.94 lb, 15 F-9.4 C, Synth, 62", 17.5" x 8.5", Regular: Fits up to 5'8"
Eureka Silver City 30° - Women's, $114.90, 1021 gm 36.0 oz 2.25 lb, 15 F-9.4 C, Synth, 62", 14" x 7.5", Regular: Fits up to 5'8"
GoLite Women's Adventure 20 (Regular), $199.99, 1134 gm 40.0 oz 2.50 lb, 20 F-6 C, 650 Down, 56", ?" x ?", Regular: Fits up to 5'6"
GoLite Women's Adventure 20 (Long), $199.99, 1191 gm 42.0 oz 2.63 lb, 20 F-6 C, 650 Down, 58", ?" x ?", Long: Fits up to 6'0"
GoLite Women's Z30 (Regular), $299.99, 624 gm 22.0 oz 1.38 lb, 30 F-1 C, 850 Down, 54", ?" x ?", Regular: Fits up to 5'6"
GoLite Women's Z30 (Long), $299.99, 652 gm 23.0 oz 1.44 lb, 30 F-1 C, 850 Down, 56", ?" x ?", Long: Fits up to 6'
Kelty Women's Ignite DriDown 20 (Regular), $199.95, 1219 gm 43.0 oz 2.69 lb, 20 F-7 C, 600 Down, 58", 15" x 7", Regular: Fits up to 5'8"
Kelty Women's Cosmic Down 20 (Regular), $149.99, 1162 gm 41.0 oz 2.56 lb, 20 F-7 C, 550 Down, 58", 14" x 8", Regular: Fits up to 5'8"
Kelty Women's Ignite 20 (Regular), $139.99, 1361 gm 48.0 oz 3.00 lb, 20 F-7 C, Synth, 58", 15" x 10", Regular: Fits up to 5'8"
Kelty Women's Cosmic 20 (Regular), $99.95, 1729 gm 61.0 oz 3.81 lb, 20 F-7 C, Synth, 58", 18" x 10", Regular: Fits up to 5'6"
Kelty Women's Mistral 20 (Regular), $74.95, 1559 gm 55.0 oz 3.44 lb, 20 F-7 C, Synth, 59", 18" x 11", Regular: Fits up to 5'6"
Kelty Women's Cosmic 35 (Regular), $89.95, 1077 gm 38.0 oz 2.38 lb, 35 F2 C, Synth, 58", 14" x 8", Regular: Fits up to 5'6"
Marmot Women's Xenon (Regular), $399.00, 1162 gm 41.0 oz 2.56 lb, 15 F-9 C, 850 Down, 58", 16" x 7.5", Regular: Fits up to 5'6"
Marmot Women's Teton (Regular), $269.00, 1590 gm 56.1 oz 3.51 lb, 15 F-9 C, 650 Down, 58", 18" x 8.5", Regular: Fits up to 5'6"
Marmot Women's Teton (Long), $289.00, 1701 gm 60.0 oz 3.75 lb, 15 F-9 C, 650 Down, 58", 18" x 8.5", Long: Fits up to 6'
Marmot Women's Angel Fire (Regular), $229.00, 1350 gm 47.6 oz 2.98 lb, 25 F-4 C, 650 Down, 58", 16" x 7.5", Regular: Fits up to 5'6"
Marmot Women's Angel Fire (Long), $249.00, 1446 gm 51.0 oz 3.19 lb, 25 F-4 C, 650 Down, 60", 16" x 7.5", Long: Fits up to 6'
Marmot Women's Trestles 15 (Regular), $109.00, 1956 gm 69.0 oz 4.31 lb, 15 F-9.44 C, Synth, 58", 18" x 8.5", Regular: Fits up to 5'6"
Marmot Women's Trestles 15 (Long), $119.00, 2041 gm 72.0 oz 4.50 lb, 15 F-9.44 C, Synth, 60", 18" x 8.5", Long: Fits up to 6'
Marmot Women's Trestles 30 (Regular), $99.00, 1361 gm 48.0 oz 3.00 lb, 30 F-1 C, Synth, 58", 19" x 9.5", Regular: Fits up to 5'6"
Marmot Women's Trestles 30 (Long), $109.00, 1701 gm 60.0 oz 3.75 lb, 30 F-1 C, Synth, 60", 19" x 9.5", Long: Fits up to 6'
Mountain Hardwear Laminina 20 (Regular), $200.00, 1559 gm 55.0 oz 3.44 lb, 20 F-7 C, Synth, 60", 18" x 8.5", Regular: Fits up to 5'8"
Mountain Hardwear Laminina 20 (Long), $220.00, 1673 gm 59.0 oz 3.69 lb, 20 F-7 C, Synth, 62", 18" x 8.5", Long: Fits up to 5'10"
Mountain Hardwear Petaluma 20 (Regular), $130.00, 1389 gm 49.0 oz 3.06 lb, 20 F-7 C, Synth, 56", 14" x 8", Regular: Fits up to 5'8"
Mountain Hardwear Petaluma 20 (Long), $140.00, 1503 gm 53.0 oz 3.31 lb, 20 F-7 C, Synth, 58", 14" x 8", Long: Fits up to 5'10"
Mountain Hardwear Phantasia 15 (Regular), $500.00, 907 gm 32.0 oz 2.00 lb, 15 F-9 C, 800 Down, 56", 12" x 7", Regular: Fits up to 5'8"
Mountain Hardwear Phantasia 15 (Long), $530.00, 964 gm 34.0 oz 2.13 lb, 15 F-9 C, 800 Down, 58", 12" x 7", Long: Fits up to 5'10"
Mountain Hardwear UltraLaminina 15 (Regular), $260.00, 1446 gm 51.0 oz 3.19 lb, 15 F-9 C, Synth, 56", 15" x 9", Regular: Fits up to 5'8"
Mountain Hardwear UltraLaminina 15 (Long), $275.00, 1559 gm 55.0 oz 3.44 lb, 15 F-9 C, Synth, 58", 15" x 9", Long: Fits up to 5'10"
Mountain Hardwear Laminina 35 (Regular), $180.00, 1049 gm 37.0 oz 2.31 lb, 35 F2 C, Synth, 60", 15" x 7", Regular: Fits up to 5'8"
Mountain Hardwear Laminina 35 (Long), $200.00, 1134 gm 40.0 oz 2.50 lb, 35 F2 C, Synth, 62", 15" x 7", Long: Fits up to 5'10"
Mountain Hardwear Phantasia 32 (Regular), $380.00, 588 gm 20.7 oz 1.30 lb, 32 F0 C, 800 Down, 56", 10" x 6", Regular: Fits up to 5'8"
Mountain Hardwear Phantasia 32 (Long), $410.00, 645 gm 22.8 oz 1.42 lb, 32 F0 C, 800 Down, 58", 10" x 6", Long: Fits up to 5'10"
Mountain Hardwear UltraLaminina 32 (Regular), $240.00, 1134 gm 40.0 oz 2.50 lb, 32 F0 C, Synth, 56", 14" x 7.5", Regular: Fits up to 5'8"
Mountain Hardwear UltraLaminina 32 (Long), $255.00, 1219 gm 43.0 oz 2.69 lb, 32 F0 C, Synth, 58", 14" x 7.5", Long: Fits up to 5'10"
Nemo Harmony 25, $219.95, 1134 gm 40.0 oz 2.50 lb, 25 F-4 C, Synth, 62", 14" x 10", Regular: Fits up to 5'6"
Nemo Rhapsody 15 Down, $399.95, 992 gm 35.0 oz 2.19 lb, 15 F-9 C, 700 Down, 62", 13.5" x 8.5", Regular: Fits up to 5'6"
Nemo Rhapsody 30 Down, $349.95, 856 gm 30.2 oz 1.89 lb, 30 F-1 C, 700 Down, 62", 13.5" x 8.5", Regular: Fits up to 5'6"
REI Serrana Sleeping Bag (Regular), $229.00, 1389 gm 49.0 oz 3.06 lb, 19 F-7 C, 650 Down, 60", 20" x 9", Regular: Fits up to 5'6"
REI Serrana Sleeping Bag (Long), $239.00, 1389 gm 49.0 oz 3.06 lb, 19 F-7 C, 650 Down, 60", 20" x 9", Long: Fits up to 6'
REI Flash Sleeping Bag - Women's (Regular), $269.00, 794 gm 28.0 oz 1.75 lb, 34 F1 C, 800 Down, 58", 15" x 7.5", Regular: Fits up to 5'6"
REI Flash Sleeping Bag - Women's (Long), $279.00, 822 gm 29.0 oz 1.81 lb, 34 F1 C, 800 Down, 58", 15" x 7.5", Long: Fits up to 6'
REI Joule Sleeping Bag - Women's (Regular), $359.00, 964 gm 34.0 oz 2.13 lb, 22 F-6 C, 800 Down, 58", 18" x 8.25", Regular: Fits up to 5'6"
REI Joule Sleeping Bag - Women's (Long), $379.00, 1021 gm 36.0 oz 2.25 lb, 22 F-6 C, 800 Down, 58", 18" x 8.25", Long: Fits up to 6'
REI Lyra Sleeping Bag - Women's (Regular), $169.00, 1588 gm 56.0 oz 3.50 lb, 24 F-4 C, Synth, 60", 18" x 12", Regular: Fits up to 5'6"
REI Lyra Sleeping Bag - Women's (Long), $179.00, 1701 gm 60.0 oz 3.75 lb, 24 F-4 C, Synth, 60", 18" x 12", Long: Fits up to 6'
Sierra Designs DriDown Clo 18 (Regular), $599.95, 1021 gm 36.0 oz 2.25 lb, 18 F-8 C, 800 Down, 58", 15" x 9", Regular: Fits up to 5'9"
Sierra Designs DriDown Clo 25 (Regular), $499.95, 794 gm 28.0 oz 1.75 lb, 25 F-4 C, 800 Down, 58", 14" x 8", Regular: Fits up to 5'9"
Sierra Designs DriDown Eleanor 19 (Regular), $319.95, 1332 gm 47.0 oz 2.94 lb, 19 F-7 C, 700 Down, 57", 17" x 9", Regular: Fits up to 5'6"
Sierra Designs DriDown Eleanor 24 (Regular), $269.95, 1077 gm 38.0 oz 2.38 lb, 24 F-4 C, 700 Down, 57", 14" x 9", Regular: Fits up to 5'6"
Sierra Designs Hot Toddie 20 (Regular), $379.95, 1389 gm 49.0 oz 3.06 lb, 20 F-7 C, 600 Down, 57", 16" x 8", Regular: Fits up to 5'6"
Sierra Designs Marlette 35 (Regular), $119.95, 1276 gm 45.0 oz 2.81 lb, 35 F2 C, Synth, 57", 15" x 10", Regular: Fits up to 5'6"
Sierra Designs Whoa Nelly 25 (Regular), $139.95, 1786 gm 63.0 oz 3.94 lb, 25 F-4 C, Synth, 57", 15" x 11", Regular: Fits up to 5'6"
Sierra Designs Whoa Nelly 25 (Long), $149.95, 1871 gm 66.0 oz 4.13 lb, 25 F-4 C, Synth, 59", 16" x 11", Long: Fits up to 5'10"
Slumberjack Star Lake 20, $89.95, 1191 gm 42.0 oz 2.63 lb, 20 F-7 C, Synth, ?", 14" x 7", Regular: Fits up to 5'6"
The North Face Women's Cat's Meow (Regular), $189.00, 1182 gm 41.7 oz 2.61 lb, 20 F-7 C, Synth, ?", 21" x 6.5", Regular: Fits up to 5'6"
The North Face Women's Cat's Meow (Long), $199.00, 1258 gm 44.4 oz 2.77 lb, 20 F-7 C, Synth, ?", 21" x 6.5", Long: Fits up to 6'
The North Face Women's Blue Kazoo (Regular), $279.00, 1140 gm 40.2 oz 2.51 lb, 15 F-9 C, 650 Down, 56", 21" x 6", Regular: Fits up to 5'6"
The North Face Women's Blue Kazoo (Long), $289.00, 1228 gm 43.3 oz 2.71 lb, 15 F-9 C, 650 Down, 58", 21" x 6", Long: Fits up to 6'
The North Face Women's Aleutian 3S Down (Regular), $229.00, 1134 gm 40.0 oz 2.50 lb, 20 F-7 C, 600 Down, 60", 20.7" x 8", Regular: Fits up to 5'6"
The North Face Women's Aleutian 3S Down (Long), $239.00, 1162 gm 41.0 oz 2.56 lb, 20 F-7 C, 600 Down, 61", 20.7" x 8", Long: Fits up to 6'
The North Face Women's Aleutian 3S (Regular), $109.00, 1474 gm 52.0 oz 3.25 lb, 20 F-7 C, Synth, 60", 20.7" x 8", Regular: Fits up to 5'6"
The North Face Women's Aleutian 3S (Long), $119.00, 1616 gm 57.0 oz 3.56 lb, 20 F-7 C, Synth, 61", 20.7" x 8", Long: Fits up to 6'
